Geno,F,M
DS11.08009,HS6.3976,IA3023
DS11.08010,HS6.3976,IA3023
DS11.08011,HS6.3976,IA3023
DS11.08012,HS6.3976,IA3023
DS11.08013,HS6.3976,IA3023
DS11.08014,HS6.3976,IA3023
DS11.08016,HS6.3976,IA3023
DS11.08017,HS6.3976,IA3023
DS11.08018,HS6.3976,IA3023
DS11.08019,HS6.3976,IA3023
DS11.08020,HS6.3976,IA3023
DS11.08021,HS6.3976,IA3023
DS11.08022,HS6.3976,IA3023
DS11.08023,HS6.3976,IA3023
DS11.08025,HS6.3976,IA3023
DS11.08026,HS6.3976,IA3023
DS11.08027,HS6.3976,IA3023
DS11.08028,HS6.3976,IA3023
DS11.08029,HS6.3976,IA3023
DS11.08030,HS6.3976,IA3023
DS11.08031,HS6.3976,IA3023
DS11.08032,HS6.3976,IA3023
DS11.08034,HS6.3976,IA3023
DS11.08035,HS6.3976,IA3023
DS11.08036,HS6.3976,IA3023
DS11.08037,HS6.3976,IA3023
DS11.08039,HS6.3976,IA3023
DS11.08041,HS6.3976,IA3023
